meter_id,event_type,date,event_description
4,Misc,7/1/2021,Decommissioned the L1 AHU
5,HVAC_Tuning,5/10/2019,HVAC System Tuning
5,HVAC_Tuning,4/21/2020,HVAC System Tuning
6,COVID_19_Building_Shutdown,4/2/2020,Building Shutdown due to the COVID-19 Lockdown
7,HVAC_Tuning,6/7/2019,HVAC System Tuning
7,HVAC_Tuning,3/7/2020,HVAC System Tuning
8,COVID_19_Building_Shutdown,4/2/2020,Building Shutdown due to the COVID-19 Lockdown
9,COVID_19_Building_Shutdown,3/7/2020,Building Shutdown due to the COVID-19 Lockdown
10,COVID_19_Building_Shutdown,3/17/2020,Building Shutdown due to the COVID-19 Lockdown
11,COVID_19_Building_Shutdown,3/29/2020,Building Shutdown due to the COVID-19 Lockdown
12,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
13,COVID_19_Building_Shutdown,4/29/2020,Building Shutdown due to the COVID-19 Lockdown
13,Misc,1/1/2021,Replaced chiller (High efficiency)
14,COVID_19_Building_Shutdown,3/8/2020,Building Shutdown due to the COVID-19 Lockdown
15,COVID_19_Building_Shutdown,3/17/2020,Building Shutdown due to the COVID-19 Lockdown
16,HVAC_Tuning,2/27/2020,HVAC System Tuning
16,HVAC_Tuning,6/2/2019,HVAC System Tuning
16,HVAC_Tuning,3/15/2020,HVAC System Tuning
17,HVAC_Tuning,5/15/2019,HVAC System Tuning
17,HVAC_Tuning,3/14/2020,HVAC System Tuning
17,HVAC_Tuning,11/20/2020,HVAC System Tuning
18,LED_Installation,10/21/2019,Completion of LED Installation
18,HVAC_Tuning,5/17/2019,HVAC System Tuning
18,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
18,Misc,10/1/2021,Upgrade building components
19,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
20,COVID_19_Building_Shutdown,3/21/2020,Building Shutdown due to the COVID-19 Lockdown
21,LED_Installation,3/4/2020,Completion of LED Installation
21,COVID_19_Building_Shutdown,3/7/2020,Building Shutdown due to the COVID-19 Lockdown
23,COVID_19_Building_Shutdown,4/17/2020,Building Shutdown due to the COVID-19 Lockdown
24,COVID_19_Building_Shutdown,3/31/2020,Building Shutdown due to the COVID-19 Lockdown
25,LED_Installation,12/9/2019,Completion of LED Installation
25,HVAC_Tuning,5/17/2019,HVAC System Tuning
25,COVID_19_Building_Shutdown,3/28/2020,Building Shutdown due to the COVID-19 Lockdown
25,Misc,4/1/2021,Replaced L1 AHU
26,LED_Installation,12/9/2019,Completion of LED Installation
26,COVID_19_Building_Shutdown,3/15/2020,Building Shutdown due to the COVID-19 Lockdown
27,HVAC_Tuning,5/30/2019,HVAC System Tuning
27,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
28,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
29,LED_Installation,10/10/2019,Completion of LED Installation
29,COVID_19_Building_Shutdown,4/18/2020,Building Shutdown due to the COVID-19 Lockdown
29,Misc,10/1/2021,"Replacing all exhaust fans, 8 AHU fans, 1 Exhaust fan, 9 VSDs."
30,HVAC_Tuning,6/3/2019,HVAC System Tuning
