date,mean,max,min
2018-01-01,19.368125,27.3,14.7
2018-01-02,18.71173611111111,23.7,16.1
2018-01-03,17.523263888888888,23.4,13.5
2018-01-04,18.491944444444446,26.7,10.7
2018-01-05,22.298055555555557,32.6,13.1
2018-01-06,27.97763888888889,42.0,16.4
2018-01-07,19.862986111111113,23.8,17.2
2018-01-08,19.33951388888889,24.3,16.1
2018-01-09,18.50326388888889,23.7,14.9
2018-01-10,19.631458333333335,27.5,11.8
2018-01-11,24.949305555555554,34.5,12.7
2018-01-12,23.97923611111111,29.9,17.0
2018-01-13,15.61888888888889,21.6,11.1
2018-01-14,15.425555555555555,20.4,10.9
2018-01-15,17.151805555555555,22.2,13.9
2018-01-16,18.846597222222222,27.2,10.0
2018-01-17,21.72951388888889,32.7,10.7
2018-01-18,27.83326388888889,38.5,14.1
2018-01-19,29.289166666666667,41.7,17.9
2018-01-20,22.469791666666666,28.1,19.1
2018-01-21,24.46534722222222,30.3,20.3
2018-01-22,22.45951388888889,28.6,18.2
2018-01-23,20.598680555555553,26.7,16.2
2018-01-24,19.655555555555555,26.6,12.9
2018-01-25,22.583819444444444,32.5,15.9
2018-01-26,23.881597222222222,32.6,20.5
2018-01-27,26.645069444444445,35.3,20.9
2018-01-28,30.535694444444445,38.1,21.6
2018-01-29,27.680625,34.7,18.8
2018-01-30,17.009444444444444,21.1,14.2
2018-01-31,15.816597222222223,20.2,12.3
2018-02-01,16.407083333333333,23.9,9.2
2018-02-02,18.30263888888889,24.6,11.5
2018-02-03,20.882708333333333,29.1,12.8
2018-02-04,20.942916666666665,29.6,12.9
2018-02-05,20.89201388888889,29.9,15.9
2018-02-06,23.648958333333333,32.3,16.1
2018-02-07,27.374583333333334,38.1,16.8
2018-02-08,24.233958333333334,30.4,19.2
2018-02-09,22.545694444444443,28.7,19.9
2018-02-10,22.617013888888888,29.2,16.6
2018-02-11,18.2125,23.4,14.2
2018-02-12,18.773541666666667,24.1,15.5
2018-02-13,20.639791666666667,29.9,10.6
2018-02-14,21.17791666666667,24.5,15.6
2018-02-15,18.03951388888889,24.3,10.0
2018-02-16,18.485972222222223,23.8,14.4
2018-02-17,18.399444444444445,28.5,9.4
2018-02-18,19.09548611111111,28.4,11.6
2018-02-19,20.452430555555555,27.1,16.7
2018-02-20,20.84340277777778,30.6,12.4
2018-02-21,21.97527777777778,29.0,14.3
2018-02-22,24.303194444444443,31.6,18.6
2018-02-23,26.176944444444448,34.0,20.1
2018-02-24,24.55375,31.7,17.0
2018-02-25,17.110138888888887,21.4,14.8
2018-02-26,19.768958333333334,28.4,11.7
2018-02-27,22.618541666666665,31.3,12.0
2018-02-28,23.66486111111111,32.7,16.3
2018-03-01,17.436180555555556,22.1,14.8
2018-03-02,18.750763888888887,25.5,13.4
2018-03-03,20.421041666666667,34.0,11.8
2018-03-04,17.763055555555557,23.2,14.4
2018-03-05,16.412847222222222,21.7,12.0
2018-03-06,18.592291666666668,28.2,11.2
2018-03-07,21.135625,31.2,11.9
2018-03-08,22.018124999999998,31.8,11.5
2018-03-09,22.190277777777776,32.4,11.4
2018-03-10,23.891527777777778,35.4,11.3
2018-03-11,19.955000000000002,25.3,15.2
2018-03-12,17.30291666666667,21.1,15.7
2018-03-13,17.12472222222222,22.3,13.7
2018-03-14,16.55763888888889,23.4,11.0
2018-03-15,16.826666666666668,22.3,13.5
2018-03-16,17.55826388888889,28.2,9.0
2018-03-17,25.926250000000003,31.7,19.3
2018-03-18,23.030069444444447,30.4,15.2
2018-03-19,19.21888888888889,28.5,12.8
2018-03-20,15.880277777777776,18.5,13.5
2018-03-21,17.29548611111111,26.6,9.1
2018-03-22,19.175069444444443,28.8,10.0
2018-03-23,21.835555555555555,29.8,14.0
2018-03-24,20.358194444444443,24.1,17.4
2018-03-25,20.65791666666667,26.1,10.9
2018-03-26,13.391666666666667,18.5,9.7
2018-03-27,14.917013888888889,21.9,7.2
2018-03-28,21.9675,30.9,16.8
2018-03-29,17.976875,23.5,14.3
2018-03-30,16.139027777777777,23.8,10.1
2018-03-31,17.044097222222224,24.8,11.6
2018-04-01,18.311180555555556,27.8,10.6
2018-04-02,16.928125,21.5,13.9
2018-04-03,15.776180555555555,21.7,11.5
2018-04-04,16.141805555555557,24.5,11.1
2018-04-05,15.099166666666665,20.1,12.4
2018-04-06,16.21090277777778,22.2,11.9
2018-04-07,14.752152777777777,23.5,6.8
