date,avg_consumption,total_consumption,mean_temp,max_temp,min_temp,is_holiday,is_semester,is_exam,lib_avg_consumption,lib_total_consumption,mixed_avg_consumption,mixed_total_consumption,off_avg_consumption,off_total_consumption,tea_avg_consumption,tea_total_consumption
1/1/2018,13.82464301,54952.95596,19.368125,27.3,14.7,1,0,0,63.99210526,6079.25,13.55346436,29017.96719,13.53043035,3829.11179,10.79334852,3864.01877
1/2/2018,15.40938918,63178.49562,18.71173611,23.7,16.1,0,1,0,69.99739583,6719.75,15.49721226,33814.91715,13.9478992,4003.04707,12.30359168,4527.72174
1/3/2018,15.40026368,63633.88952,17.52326389,23.4,13.5,0,1,0,68.81119792,6605.875,15.63406086,34348.03172,13.68471941,3927.51447,13.25308055,5036.17061
1/4/2018,16.02791337,66419.673,18.49194444,26.7,10.7,0,1,0,66.68880208,6402.125,16.57926367,36441.22155,13.7048658,3919.59162,13.59157654,5219.16539
1/5/2018,16.50404798,68178.22221,22.29805556,32.6,13.1,0,1,0,67.88541667,6517,17.20691761,37425.04581,13.47851639,3881.81272,14.02549607,5385.79049
1/6/2018,14.63140859,58540.26575,27.97763889,42,16.4,0,1,0,71.97222222,5829.75,14.30376491,29794.7423,13.59731919,3875.23597,12.27438242,4713.36285
1/7/2018,14.0124968,50515.05095,19.86298611,23.8,17.2,0,1,0,75.21354167,7220.5,12.09552526,23803.99372,17.07353158,4319.60349,12.49936679,4474.77331
1/8/2018,16.54339467,67877.54833,19.33951389,24.3,16.1,0,1,0,78.75,7560,16.91385449,35925.02694,14.99947502,4304.84933,13.82818419,5282.36636
1/9/2018,16.49128265,68141.97991,18.50326389,23.7,14.9,0,1,0,78.68619792,7553.875,16.8438436,36214.26375,14.91381573,4295.17893,14.01066616,5366.08514
1/10/2018,16.86419816,69092.61986,19.63145833,27.5,11.8,0,1,0,79.921875,7672.5,17.2212944,37111.88943,14.85521417,4278.30168,13.71406658,5170.2031
1/11/2018,16.2146884,64729.03611,24.94930556,34.5,12.7,0,1,0,84.42025862,4896.375,18.10869993,37810.96546,12.01720024,3436.91927,11.93286073,4260.03128
1/12/2018,17.17045403,69797.89564,23.97923611,29.9,17,0,1,0,108.298913,7472.625,18.42795261,39804.37764,11.33744938,3265.18542,11.70464008,4131.73795
1/13/2018,13.54917671,52787.59247,15.61888889,21.6,11.1,0,1,0,96.49869792,9263.875,12.30883864,24925.39825,12.06181957,3341.12402,8.531443065,2226.70664
1/14/2018,13.63921328,55538.87649,15.42555556,20.4,10.9,0,1,0,93.76171875,9001.125,11.95506804,24711.12564,13.13712525,3652.12082,11.3045262,4973.99153
1/15/2018,16.04890542,69828.78747,17.15180556,22.2,13.9,0,1,0,84.5,8112,16.35375799,35634.83865,13.96066273,3992.74954,12.605758,6038.15808
1/16/2018,17.13276812,75075.78988,18.84659722,27.2,10,0,1,0,91.98567708,8830.625,17.97123602,39518.748,13.70069875,3945.80124,12.8558399,6170.80315
1/17/2018,17.98216765,77557.08906,21.72951389,32.7,10.7,0,1,0,102.1184896,9803.375,19.13961701,41341.57275,13.08368708,3768.10188,12.91131086,6145.78397
1/18/2018,18.56888757,75352.54576,27.83326389,38.5,14.1,0,1,0,90.59876543,7338.5,20.47277459,41027.44027,15.46520875,4345.72366,13.76443313,6427.99027
1/19/2018,17.88738553,69492.4928,29.28916667,41.7,17.9,0,1,0,79.07575758,5219,19.795769,37889.10187,18.55958759,5085.327,13.07082478,6182.50012
1/20/2018,15.40610762,64027.78326,22.46979167,28.1,19.1,0,1,0,78.98697917,7582.75,15.27933941,31215.69041,12.70905801,3647.49965,11.8752474,5260.7346
1/21/2018,15.19744703,63327.76178,24.46534722,30.3,20.3,0,1,0,80.03125,7683,14.75405943,30408.11649,14.12171059,4067.05265,11.72153399,5227.80416
1/22/2018,17.37168316,71779.7948,22.45951389,28.6,18.2,0,1,0,85.0304878,6972.5,18.24620982,37514.2074,15.13091792,4357.70436,13.02758684,6188.10375
