date,avg_consumption,total_consumption,mean_temp,max_temp,min_temp,is_holiday,is_semester,is_exam
1/1/2018,13.82464301,54952.95596,19.368125,27.3,14.7,1,0,0
1/2/2018,15.40938918,63178.49562,18.71173611,23.7,16.1,0,1,0
1/3/2018,15.40026368,63633.88952,17.52326389,23.4,13.5,0,1,0
1/4/2018,16.02791337,66419.673,18.49194444,26.7,10.7,0,1,0
1/5/2018,16.50404798,68178.22221,22.29805556,32.6,13.1,0,1,0
1/6/2018,14.63140859,58540.26575,27.97763889,42,16.4,0,1,0
1/7/2018,14.0124968,50515.05095,19.86298611,23.8,17.2,0,1,0
1/8/2018,16.54339467,67877.54833,19.33951389,24.3,16.1,0,1,0
1/9/2018,16.49128265,68141.97991,18.50326389,23.7,14.9,0,1,0
1/10/2018,16.86419816,69092.61986,19.63145833,27.5,11.8,0,1,0
1/11/2018,16.2146884,64729.03611,24.94930556,34.5,12.7,0,1,0
1/12/2018,17.17045403,69797.89564,23.97923611,29.9,17,0,1,0
1/13/2018,13.54917671,52787.59247,15.61888889,21.6,11.1,0,1,0
1/14/2018,13.63921328,55538.87649,15.42555556,20.4,10.9,0,1,0
1/15/2018,16.04890542,69828.78747,17.15180556,22.2,13.9,0,1,0
1/16/2018,17.13276812,75075.78988,18.84659722,27.2,10,0,1,0
1/17/2018,17.98216765,77557.08906,21.72951389,32.7,10.7,0,1,0
1/18/2018,18.56888757,75352.54576,27.83326389,38.5,14.1,0,1,0
1/19/2018,17.88738553,69492.4928,29.28916667,41.7,17.9,0,1,0
1/20/2018,15.40610762,64027.78326,22.46979167,28.1,19.1,0,1,0
1/21/2018,15.19744703,63327.76178,24.46534722,30.3,20.3,0,1,0
1/22/2018,17.37168316,71779.7948,22.45951389,28.6,18.2,0,1,0
1/23/2018,17.67680361,75250.15295,20.59868056,26.7,16.2,0,1,0
1/24/2018,17.49411265,75172.20205,19.65555556,26.6,12.9,0,1,0
1/25/2018,16.89790585,69501.08676,22.58381944,32.5,15.9,0,1,0
1/26/2018,17.0617514,72546.56695,23.88159722,32.6,20.5,1,0,0
1/27/2018,15.49939011,64353.46772,26.64506944,35.3,20.9,0,1,0
1/28/2018,16.39712547,66162.40126,30.53569444,38.1,21.6,0,1,0
1/29/2018,19.19938603,73034.46445,27.680625,34.7,18.8,0,1,0
1/30/2018,16.9393185,72889.8875,17.00944444,21.1,14.2,0,1,0
1/31/2018,17.108808,74354.87955,15.81659722,20.2,12.3,0,1,0
2/1/2018,17.09750149,74459.61899,16.40708333,23.9,9.2,0,1,0
2/2/2018,17.3470744,74661.80822,18.30263889,24.6,11.5,0,1,0
2/3/2018,14.58236835,61683.41812,20.88270833,29.1,12.8,0,1,0
2/4/2018,14.6683472,62604.50586,20.94291667,29.6,12.9,0,1,0
2/5/2018,17.70989086,76595.27796,20.89201389,29.9,15.9,0,1,0
