date,avg_consumption,total_consumption
1/1/2018,63.99210526,6079.25
1/2/2018,69.99739583,6719.75
1/3/2018,68.81119792,6605.875
1/4/2018,66.68880208,6402.125
1/5/2018,67.88541667,6517
1/6/2018,71.97222222,5829.75
1/7/2018,75.21354167,7220.5
1/8/2018,78.75,7560
1/9/2018,78.68619792,7553.875
1/10/2018,79.921875,7672.5
1/11/2018,84.42025862,4896.375
1/12/2018,108.298913,7472.625
1/13/2018,96.49869792,9263.875
1/14/2018,93.76171875,9001.125
1/15/2018,84.5,8112
1/16/2018,91.98567708,8830.625
1/17/2018,102.1184896,9803.375
1/18/2018,90.59876543,7338.5
1/19/2018,79.07575758,5219
1/20/2018,78.98697917,7582.75
1/21/2018,80.03125,7683
1/22/2018,85.0304878,6972.5
1/23/2018,97.21381579,7388.25
1/24/2018,104.3320313,6677.25
1/25/2018,97.79069767,4205
1/26/2018,115.2634615,7492.125
1/27/2018,115.0166667,5175.75
1/28/2018,91.27272727,5020
1/29/2018,83.828125,7376.875
1/30/2018,92.65,5095.75
1/31/2018,104.4005682,9187.25
2/1/2018,99.9,9490.5
2/2/2018,98.90725806,9198.375
2/3/2018,68.88802083,6613.25
2/4/2018,73.47526042,7053.625
2/5/2018,81.24479167,7799.5
2/6/2018,99.10807292,9514.375
2/7/2018,102.0846354,9800.125
2/8/2018,105.53125,10131
2/9/2018,103.6640625,9951.75
2/10/2018,97.13802083,9325.25
2/11/2018,95.97135417,9213.25
2/12/2018,99.1328125,9516.75
2/13/2018,98.45833333,9452
2/14/2018,98.9296875,9497.25
2/15/2018,98.42361111,8858.125
2/16/2018,97.68947368,9280.5
2/17/2018,93.78515625,9003.375
2/18/2018,93.37239583,8963.75
2/19/2018,97.47005208,9357.125
2/20/2018,96.21354167,9236.5
2/21/2018,96.84375,9297
2/22/2018,97.11067708,9322.625
2/23/2018,97.5078125,9360.75
2/24/2018,90.98828125,8734.875
2/25/2018,89.62369792,8603.875
2/26/2018,96.63020833,9276.5
2/27/2018,92.97526042,8925.625
2/28/2018,81.49739583,7823.75
3/1/2018,93.59638554,7768.5
3/2/2018,94.70052083,9091.25
3/3/2018,90.1640625,8655.75
3/4/2018,89.08463542,8552.125
3/5/2018,95.75390625,9192.375
3/6/2018,97.42317708,9352.625
3/7/2018,97.90885417,9399.25
3/8/2018,97.20572917,9331.75
3/9/2018,96.28385417,9243.25
3/10/2018,91.86328125,8818.875
3/11/2018,85.03645833,8163.5
3/12/2018,81.7890625,7851.75
3/13/2018,90.29296875,8668.125
3/14/2018,97.0234375,9314.25
3/15/2018,96.47395833,9261.5
3/16/2018,94.37760417,9060.25
3/17/2018,90.53645833,8691.5
3/18/2018,89.8828125,8628.75
3/19/2018,95.65885417,9183.25
3/20/2018,96.73177083,9286.25
3/21/2018,95.97135417,9213.25
3/22/2018,88.70833333,8516
3/23/2018,86.671875,8320.5
3/24/2018,77.98177083,7486.25
3/25/2018,63.140625,6061.5
3/26/2018,75.078125,7207.5
3/27/2018,78.59895833,7545.5
3/28/2018,71.94791667,6907
3/29/2018,81.484375,7822.5
3/30/2018,66.45052083,6379.25
3/31/2018,66.125,6348
4/1/2018,65.87760417,6324.25
4/2/2018,66.140625,6349.5
4/3/2018,69.91927083,6712.25
4/4/2018,85.58333333,8216
4/5/2018,80.31770833,7710.5
4/6/2018,81.0703125,7782.75
4/7/2018,79.09895833,7593.5
4/8/2018,78.8671875,7571.25
4/9/2018,83.95833333,8060
4/10/2018,84.8515625,8145.75
4/11/2018,82.88802083,7957.25
4/12/2018,89.63802083,8605.25
