date,avg_consumption,total_consumption
1/1/2018,13.55346436,29017.96719
1/2/2018,15.49721226,33814.91715
1/3/2018,15.63406086,34348.03172
1/4/2018,16.57926367,36441.22155
1/5/2018,17.20691761,37425.04581
1/6/2018,14.30376491,29794.7423
1/7/2018,12.09552526,23803.99372
1/8/2018,16.91385449,35925.02694
1/9/2018,16.8438436,36214.26375
1/10/2018,17.2212944,37111.88943
1/11/2018,18.10869993,37810.96546
1/12/2018,18.42795261,39804.37764
1/13/2018,12.30883864,24925.39825
1/14/2018,11.95506804,24711.12564
1/15/2018,16.35375799,35634.83865
1/16/2018,17.97123602,39518.748
1/17/2018,19.13961701,41341.57275
1/18/2018,20.47277459,41027.44027
1/19/2018,19.795769,37889.10187
1/20/2018,15.27933941,31215.69041
1/21/2018,14.75405943,30408.11649
1/22/2018,18.24620982,37514.2074
1/23/2018,18.54607944,39391.87272
1/24/2018,18.6898849,40370.15139
1/25/2018,18.75274935,38311.86693
1/26/2018,18.3834297,39175.08869
1/27/2018,16.31987902,34467.58449
1/28/2018,17.01351516,34571.4628
1/29/2018,20.91816135,38196.56262
1/30/2018,18.33346005,39545.27332
1/31/2018,17.51930714,38559.99502
2/1/2018,17.44928083,38458.21495
2/2/2018,17.78083033,38957.79925
2/3/2018,14.47817632,31909.90061
2/4/2018,14.51858745,31824.74369
2/5/2018,18.88729267,41023.19968
2/6/2018,19.48865385,41199.01423
2/7/2018,19.00501771,36337.59386
2/8/2018,20.12360694,40086.22502
2/9/2018,20.23906669,42805.62604
2/10/2018,16.99825774,36903.21755
2/11/2018,14.60335065,31908.32116
2/12/2018,18.67416413,40765.7003
2/13/2018,18.97732478,41066.93082
2/14/2018,19.59485604,42599.21703
2/15/2018,19.20524664,39850.88677
2/16/2018,18.01465641,38551.36472
2/17/2018,15.02589685,32501.01489
2/18/2018,14.61608047,31249.18004
2/19/2018,18.81996497,40331.18494
2/20/2018,18.8715227,40422.80163
2/21/2018,19.34106618,41931.43148
2/22/2018,19.41614464,40366.16471
2/23/2018,19.58609252,40288.59232
2/24/2018,15.95855883,34646.03123
2/25/2018,13.29559285,28891.32327
2/26/2018,18.33727543,39956.92316
2/27/2018,19.2366862,40435.51439
2/28/2018,19.08211958,38889.35971
3/1/2018,18.86838041,36378.23743
3/2/2018,19.08716835,41380.98098
3/3/2018,15.69939479,33471.1097
3/4/2018,14.01724022,30641.68712
3/5/2018,18.71095189,40752.45321
3/6/2018,18.89406237,40660.02223
3/7/2018,19.49017129,40792.92852
3/8/2018,18.86187928,38421.64809
3/9/2018,19.75185955,41241.88274
3/10/2018,16.56894481,35722.64501
3/11/2018,15.48468008,33493.36302
3/12/2018,19.24838808,42288.70861
3/13/2018,18.94468774,40825.80209
3/14/2018,19.06759275,41033.4596
3/15/2018,19.00236387,40912.08942
3/16/2018,18.56030104,40016.00904
3/17/2018,16.53853885,36302.09278
3/18/2018,15.5102858,34076.0979
3/19/2018,19.23194163,41117.89121
3/20/2018,18.95999356,40858.78613
3/21/2018,18.74300792,40409.92508
3/22/2018,18.89895723,40783.94971
3/23/2018,18.80640798,39907.19774
3/24/2018,14.75824884,32409.11445
3/25/2018,13.54564601,29705.60169
3/26/2018,17.88468855,38934.96697
3/27/2018,18.76995727,41181.28624
3/28/2018,18.75099137,39639.59576
3/29/2018,19.25733974,41961.74329
3/30/2018,16.08882048,35443.67152
3/31/2018,14.31119836,31370.14681
4/1/2018,14.21018496,31205.56617
4/2/2018,15.46251442,34017.53172
4/3/2018,15.64439303,34495.88664
4/4/2018,17.51346185,38161.83338
4/5/2018,17.90251539,39367.63135
4/6/2018,17.83795096,39136.46441
4/7/2018,14.27038301,31437.65378
4/8/2018,14.47713425,31806.26395
4/9/2018,18.05399525,38653.60383
4/10/2018,19.22082657,40536.72323
4/11/2018,18.92155394,40056.9297
4/12/2018,20.07273758,42935.58568
4/13/2018,18.92818623,40714.52858
4/14/2018,14.06667176,31017.01124
4/15/2018,13.46132646,29332.23035
4/16/2018,18.53788884,40783.35544
4/17/2018,18.28804606,39995.95674
4/18/2018,18.39997706,39615.15061
4/19/2018,18.84258974,41265.27154
4/20/2018,18.2390011,39925.1734
4/21/2018,14.3819642,31740.995
4/22/2018,14.03824592,30898.17928
4/23/2018,18.85545092,41029.4612
4/24/2018,18.66215197,40422.22117
4/25/2018,16.0057988,35340.80375
4/26/2018,18.39598143,39845.69578
4/27/2018,18.3618772,40230.87294
4/28/2018,13.68188369,30209.59918
4/29/2018,13.60702112,29840.19731
4/30/2018,18.31941158,40027.9143
5/1/2018,18.30025278,39931.15157
5/2/2018,18.70071974,40374.85392
5/3/2018,18.64010046,40449.01799
5/4/2018,18.19912204,40001.67024
5/5/2018,13.99082211,30863.75358
5/6/2018,13.86137992,30328.69926
5/7/2018,18.55773737,40789.90673
5/8/2018,18.8600728,41039.51841
5/9/2018,18.72940415,41017.39508
5/10/2018,18.23537441,39971.94071
5/11/2018,17.58370831,38367.65154
5/12/2018,13.33065159,29434.0787
5/13/2018,12.840118,28055.65782
5/14/2018,18.15087781,39296.65046
5/15/2018,18.5183331,40332.9295
5/16/2018,18.68379729,40786.72948
5/17/2018,18.7803688,40922.42361
5/18/2018,18.45994062,40464.18983
5/19/2018,14.04631501,31014.26355
5/20/2018,13.74172018,30286.75127
5/21/2018,18.69609669,40850.97127
5/22/2018,19.21079881,41764.27662
5/23/2018,19.16306213,41775.47544
5/24/2018,19.05468578,41901.25403
5/25/2018,18.29099049,40148.72412
5/26/2018,13.87542221,30636.93225
5/27/2018,13.60585663,29919.27872
5/28/2018,18.80318738,41009.75167
5/29/2018,18.42899629,40580.64982
5/30/2018,18.15429294,39685.28437
5/31/2018,18.32087583,40342.56857
6/1/2018,17.57136432,38481.28785
6/2/2018,13.28595618,29308.81934
6/3/2018,13.24107117,29103.87444
6/4/2018,17.67583895,38568.68059
6/5/2018,17.96301234,39249.18197
6/6/2018,17.68445201,38728.9499
6/7/2018,17.98959461,39613.08734
6/8/2018,17.70901961,38959.84315
6/9/2018,13.66864193,30180.36139
6/10/2018,13.16393814,29065.97542
6/11/2018,14.79059956,32613.27204
6/12/2018,17.95577942,39359.06848
6/13/2018,18.18989305,39526.6376
6/14/2018,18.19243957,39495.78631
6/15/2018,17.68145596,38598.61835
6/16/2018,13.35742858,29493.2023
6/17/2018,13.27526598,29311.78729
6/18/2018,18.01457526,39145.67205
6/19/2018,17.98667068,39067.04871
6/20/2018,18.05078131,39007.73842
6/21/2018,17.9638805,39322.93441
6/22/2018,17.5015186,38450.83637
6/23/2018,13.43022104,29653.92806
6/24/2018,13.00983221,28699.68986
6/25/2018,17.88189189,39036.17
6/26/2018,17.93968119,40651.31758
6/27/2018,17.51361513,39423.14766
6/28/2018,17.49096491,39267.21622
6/29/2018,17.27409558,39298.56745
6/30/2018,13.32124959,30692.15905
7/1/2018,12.42469883,28527.10852
7/2/2018,17.2535964,39079.39584
7/3/2018,17.61787513,40115.90168
7/4/2018,17.71148009,40523.86645
7/5/2018,17.760779,40707.70546
7/6/2018,17.49206549,40161.78236
7/7/2018,13.45313375,30996.02015
7/8/2018,12.97877952,29812.25656
7/9/2018,17.29354725,39481.16838
7/10/2018,17.52279669,39864.36247
7/11/2018,17.48809326,39715.4598
7/12/2018,17.44092352,39451.369
7/13/2018,17.04437176,38980.47821
7/14/2018,12.86022025,28729.73204
7/15/2018,12.51803623,27364.42719
7/16/2018,17.49892046,39215.08074
7/17/2018,17.51982546,40207.99943
7/18/2018,17.60398989,40313.13685
7/19/2018,17.40971365,39624.50826
7/20/2018,17.25549556,39100.95294
7/21/2018,13.09216056,30085.78496
7/22/2018,12.87563859,29665.47131
7/23/2018,17.99996699,41075.92466
7/24/2018,17.84319025,40967.96482
7/25/2018,17.76267452,40516.66059
7/26/2018,17.85104712,40539.728
7/27/2018,17.44507249,40071.33151
7/28/2018,13.56317822,31249.56261
7/29/2018,13.08631805,30137.79047
7/30/2018,18.44096809,41897.87951
7/31/2018,18.30838203,41614.95236
8/1/2018,18.48524435,42053.93089
8/2/2018,18.4229999,41709.67178
8/3/2018,17.82886503,40721.12773
8/4/2018,13.60026602,31335.0129
8/5/2018,14.24141294,32797.97399
8/6/2018,18.41549349,41821.58571
8/7/2018,18.75957394,41815.09032
8/8/2018,18.578744,41820.75275
8/9/2018,18.1568527,40780.29116
8/10/2018,18.12743869,41457.45228
8/11/2018,13.27357449,30622.13635
8/12/2018,12.91915937,29778.66235
8/13/2018,18.41398184,41578.77099
8/14/2018,18.41427549,41505.77695
8/15/2018,18.38033709,42017.45058
8/16/2018,18.18344241,41203.68049
8/17/2018,17.76194081,40710.36833
8/18/2018,13.49881527,30925.78578
8/19/2018,12.89940765,29629.93937
8/20/2018,18.13385437,40674.23535
8/21/2018,18.35984346,40758.85248
8/22/2018,18.54906457,41494.25745
8/23/2018,18.45477249,41449.41902
8/24/2018,18.01318639,41016.02541
8/25/2018,13.58873504,31281.26807
8/26/2018,13.06245617,29899.96217
8/27/2018,18.21490634,41019.96907
8/28/2018,18.63067666,41043.38069
8/29/2018,18.3902963,41120.70252
8/30/2018,18.56498846,41028.6245
8/31/2018,18.42871545,41925.32766
9/1/2018,13.49201076,31085.59278
9/2/2018,12.98434035,29825.02978
9/3/2018,18.43881742,41358.26747
9/4/2018,18.96244667,42305.21851
9/5/2018,18.80414644,42516.1751
9/6/2018,18.98993436,42993.2114
9/7/2018,18.10046734,41088.06087
9/8/2018,14.04937656,32159.02294
9/9/2018,13.85315743,31751.43682
9/10/2018,18.71505283,42501.88497
9/11/2018,19.35418344,43469.49601
9/12/2018,18.75666662,42033.68989
9/13/2018,18.41224886,41335.4987
9/14/2018,18.27475324,41757.81116
9/15/2018,13.56255309,31234.55976
9/16/2018,13.13471538,30104.76764
9/17/2018,18.24852592,41843.86993
9/18/2018,18.54826756,42123.11564
9/19/2018,18.27949114,41677.2398
9/20/2018,17.93221007,41046.82885
9/21/2018,17.50512787,40174.26847
9/22/2018,13.1854551,30194.69219
9/23/2018,12.68946803,29236.53435
9/24/2018,16.97700296,39047.1068
9/25/2018,17.39632629,39907.1725
9/26/2018,17.61801115,40433.33558
9/27/2018,17.58645246,40431.2542
9/28/2018,15.19167254,34986.42185
9/29/2018,13.27109435,30576.60138
9/30/2018,13.07021705,30113.78009
10/1/2018,17.85759644,40876.03826
10/2/2018,18.84497863,43098.46613
10/3/2018,18.90131244,43397.41336
10/4/2018,18.41911043,42032.41001
10/5/2018,17.94624308,41150.73539
10/6/2018,14.26617242,32869.26126
10/7/2018,13.87048039,29294.45459
10/8/2018,19.3458815,44050.57218
10/9/2018,19.01826907,42962.26984
10/10/2018,18.47996742,41968.00602
10/11/2018,18.77436488,42542.71082
10/12/2018,18.44040304,42228.52297
10/13/2018,14.12447776,32514.5478
10/14/2018,13.98884473,30090.00502
10/15/2018,19.9217766,45142.74578
10/16/2018,20.00819488,44938.40569
10/17/2018,19.72033474,44429.91417
10/18/2018,19.44606695,44084.23377
10/19/2018,19.78692632,45252.7005
10/20/2018,13.49650367,31190.41998
10/21/2018,12.56233264,29044.11306
10/22/2018,18.83110766,43160.89875
10/23/2018,19.014826,43258.72914
10/24/2018,18.41366922,41872.68381
10/25/2018,18.66047627,42975.07684
10/26/2018,18.39483266,42197.74612
10/27/2018,14.18939522,32763.31356
10/28/2018,13.58918307,31200.76434
10/29/2018,18.17467595,41656.35727
10/30/2018,18.44115003,41935.17516
10/31/2018,18.99142479,43718.25987
