date,avg_consumption,total_consumption
1/1/2018,10.79334852,3864.01877
1/2/2018,12.30359168,4527.72174
1/3/2018,13.25308055,5036.17061
1/4/2018,13.59157654,5219.16539
1/5/2018,14.02549607,5385.79049
1/6/2018,12.27438242,4713.36285
1/7/2018,12.49936679,4474.77331
1/8/2018,13.82818419,5282.36636
1/9/2018,14.01066616,5366.08514
1/10/2018,13.71406658,5170.2031
1/11/2018,11.93286073,4260.03128
1/12/2018,11.70464008,4131.73795
1/13/2018,8.531443065,2226.70664
1/14/2018,11.3045262,4973.99153
1/15/2018,12.605758,6038.15808
1/16/2018,12.8558399,6170.80315
1/17/2018,12.91131086,6145.78397
1/18/2018,13.76443313,6427.99027
1/19/2018,13.07082478,6182.50012
1/20/2018,11.8752474,5260.7346
1/21/2018,11.72153399,5227.80416
1/22/2018,13.02758684,6188.10375
1/23/2018,12.73048247,6085.17062
1/24/2018,12.99634147,6199.25488
1/25/2018,12.7813165,6058.34402
1/26/2018,11.83028426,5643.04559
1/27/2018,12.65794852,5139.1271
1/28/2018,15.50334977,5286.64227
1/29/2018,14.5635613,5825.42452
1/30/2018,13.09922349,6222.13116
1/31/2018,12.81006734,6071.97192
2/1/2018,13.12082683,6258.6344
2/2/2018,14.01427494,5928.0383
2/3/2018,14.01843734,5004.58213
2/4/2018,12.24495075,5253.08387
2/5/2018,13.06832295,6155.18011
2/6/2018,13.81346603,6437.07517
2/7/2018,12.99443275,5899.47247
2/8/2018,14.50467708,6614.13275
2/9/2018,13.30524634,6359.90775
2/10/2018,10.62558381,5047.15231
2/11/2018,10.18618379,4889.36822
2/12/2018,12.76939157,6116.53856
2/13/2018,13.2317487,6192.45839
2/14/2018,13.25555815,6362.66791
2/15/2018,13.2690002,6037.39509
2/16/2018,12.77320222,6041.72465
2/17/2018,9.904049436,4744.03968
2/18/2018,9.960716931,4771.18341
2/19/2018,12.87972267,6130.74799
2/20/2018,13.91491238,6303.45531
2/21/2018,13.21315918,6263.03745
2/22/2018,12.73478987,5743.39023
2/23/2018,13.20582806,6206.73919
2/24/2018,11.36321548,5329.34806
2/25/2018,11.33622521,5157.98247
2/26/2018,13.1384282,6069.95383
2/27/2018,14.01686324,6181.43669
2/28/2018,13.78901244,6205.0556
3/1/2018,13.43684118,5562.85225
3/2/2018,13.23054213,6337.42968
3/3/2018,11.53294863,5535.81534
3/4/2018,11.06712675,5312.22084
3/5/2018,13.57490584,6203.73197
3/6/2018,13.90385839,6548.7173
3/7/2018,14.14859471,6423.462
3/8/2018,13.88003876,6246.01744
3/9/2018,13.89986964,6519.03886
3/10/2018,12.46851463,5386.39832
3/11/2018,12.40146924,5382.23765
