date,mean,max,min
1/1/2018,19.368125,27.3,14.7
1/2/2018,18.71173611,23.7,16.1
1/3/2018,17.52326389,23.4,13.5
1/4/2018,18.49194444,26.7,10.7
1/5/2018,22.29805556,32.6,13.1
1/6/2018,27.97763889,42,16.4
1/7/2018,19.86298611,23.8,17.2
1/8/2018,19.33951389,24.3,16.1
1/9/2018,18.50326389,23.7,14.9
1/10/2018,19.63145833,27.5,11.8
1/11/2018,24.94930556,34.5,12.7
1/12/2018,23.97923611,29.9,17
1/13/2018,15.61888889,21.6,11.1
1/14/2018,15.42555556,20.4,10.9
1/15/2018,17.15180556,22.2,13.9
1/16/2018,18.84659722,27.2,10
1/17/2018,21.72951389,32.7,10.7
1/18/2018,27.83326389,38.5,14.1
1/19/2018,29.28916667,41.7,17.9
1/20/2018,22.46979167,28.1,19.1
1/21/2018,24.46534722,30.3,20.3
1/22/2018,22.45951389,28.6,18.2
1/23/2018,20.59868056,26.7,16.2
1/24/2018,19.65555556,26.6,12.9
1/25/2018,22.58381944,32.5,15.9
1/26/2018,23.88159722,32.6,20.5
1/27/2018,26.64506944,35.3,20.9
1/28/2018,30.53569444,38.1,21.6
1/29/2018,27.680625,34.7,18.8
1/30/2018,17.00944444,21.1,14.2
1/31/2018,15.81659722,20.2,12.3
2/1/2018,16.40708333,23.9,9.2
2/2/2018,18.30263889,24.6,11.5
2/3/2018,20.88270833,29.1,12.8
2/4/2018,20.94291667,29.6,12.9
2/5/2018,20.89201389,29.9,15.9
2/6/2018,23.64895833,32.3,16.1
2/7/2018,27.37458333,38.1,16.8
2/8/2018,24.23395833,30.4,19.2
2/9/2018,22.54569444,28.7,19.9
2/10/2018,22.61701389,29.2,16.6
2/11/2018,18.2125,23.4,14.2
2/12/2018,18.77354167,24.1,15.5
2/13/2018,20.63979167,29.9,10.6
2/14/2018,21.17791667,24.5,15.6
2/15/2018,18.03951389,24.3,10
2/16/2018,18.48597222,23.8,14.4
2/17/2018,18.39944444,28.5,9.4
2/18/2018,19.09548611,28.4,11.6
2/19/2018,20.45243056,27.1,16.7
2/20/2018,20.84340278,30.6,12.4
2/21/2018,21.97527778,29,14.3
2/22/2018,24.30319444,31.6,18.6
2/23/2018,26.17694444,34,20.1
2/24/2018,24.55375,31.7,17
