"Sum of Frequencies","Depth","Formatted Partition","Analysis Variable","Data Role","Value","Target Name","Partition Indicator","Predicted Mean","Predicted Minimum","Predicted Maximum","Target Minimum","Target Maximum","Target Mean",
"0","0","           0","P_avg_consumption","VALIDATE","0","avg_consumption","0"," "," "," "," "," "," ",
"22","5","           0","P_avg_consumption","VALIDATE","18.8049379316","avg_consumption","0","18.9761776389","18.808002156","19.9745803141","18.27535393","19.57865204","18.9898768464",
"22","10","           0","P_avg_consumption","VALIDATE","18.5190997732","avg_consumption","0","18.6561494203","18.5271001867","18.8049379316","18.35605147","19.18925124","18.69942331",
"22","15","           0","P_avg_consumption","VALIDATE","18.2904247054","avg_consumption","0","18.4150681179","18.2917278544","18.5190997732","18.00798323","19.19938603","18.4545078505",
"22","20","           0","P_avg_consumption","VALIDATE","18.0367949797","avg_consumption","0","18.1652574131","18.0449255209","18.2904247054","17.77864017","18.49604798","18.1630884673",
"22","25","           0","P_avg_consumption","VALIDATE","17.7513928416","avg_consumption","0","17.9306990188","17.7646804398","18.0367949797","13.53695179","18.39280018","17.6884092745",
"22","30","           0","P_avg_consumption","VALIDATE","17.4625777609","avg_consumption","0","17.6009918222","17.4631321899","17.7513928416","17.19342327","17.87379078","17.5511540114",
"22","35","           0","P_avg_consumption","VALIDATE","17.1089955609","avg_consumption","0","17.3349393594","17.1089955609","17.4625777609","16.74990222","17.67366953","17.3421646359",
"22","40","           0","P_avg_consumption","VALIDATE","16.2473334668","avg_consumption","0","16.6594844097","16.2473334668","17.1085644426","16.07302615","17.62839601","16.6746696859",
"22","45","           0","P_avg_consumption","VALIDATE","15.2434548762","avg_consumption","0","15.7207419894","15.2434548762","16.2087229788","15.08373979","16.61286533","15.9147831259",
"22","50","           0","P_avg_consumption","VALIDATE","14.6369419494","avg_consumption","0","14.8414030899","14.6369419494","15.2415960205","14.49415925","15.91742294","15.0129151959",
"22","55","           0","P_avg_consumption","VALIDATE","14.1844640123","avg_consumption","0","14.4132750643","14.1844640123","14.6232443974","14.20329231","14.97015145","14.534255755",
"22","60","           0","P_avg_consumption","VALIDATE","13.7339145512","avg_consumption","0","13.9853801391","13.7339145512","14.1815336217","13.16764222","14.43362645","13.9492487873",
"22","65","           0","P_avg_consumption","VALIDATE","13.4035776531","avg_consumption","0","13.5661513109","13.4035776531","13.7215669883","13.1659207","14.14871359","13.5505275736",
"21","70","           0","P_avg_consumption","VALIDATE","13.1642327657","avg_consumption","0","13.2815349584","13.1642327657","13.3973082875","12.82283308","13.70619644","13.1828563138",
"22","75","           0","P_avg_consumption","VALIDATE","12.6573149351","avg_consumption","0","12.9610972662","12.6573149351","13.1502113315","12.26130594","13.47362742","12.9116178495",
"22","80","           0","P_avg_consumption","VALIDATE","12.0842347813","avg_consumption","0","12.3120627871","12.0842347813","12.5785478001","11.30081903","13.63921328","12.4145590364",
"22","85","           0","P_avg_consumption","VALIDATE","11.6531811769","avg_consumption","0","11.8277689467","11.6531811769","12.0133960087","11.17805259","12.39321354","11.8567636245",
"22","90","           0","P_avg_consumption","VALIDATE","11.3620221832","avg_consumption","0","11.5337730841","11.3620221832","11.6415394239","11.08698092","11.84359278","11.5116683659",
"22","95","           0","P_avg_consumption","VALIDATE","10.998770496","avg_consumption","0","11.1626568544","10.998770496","11.333664213","10.75320201","11.50094647","11.1649418977",
"20","100","           0","P_avg_consumption","VALIDATE","9.83139129735","avg_consumption","0","10.4402126748","9.83139129735","10.9048793984","9.476756231","10.93789312","10.2555146856",
"0","0","           1","P_avg_consumption","TRAIN","0","avg_consumption","1"," "," "," "," "," "," ",
"44","5","           1","P_avg_consumption","TRAIN","18.7344502155","avg_consumption","1","19.0639806199","18.7519330561","20.0842549557","18.5661235","20.38234302","19.0961734541",
"44","10","           1","P_avg_consumption","TRAIN","18.4939030542","avg_consumption","1","18.6272486181","18.495196522","18.7344502155","18.26321359","19.0906067","18.6401600298",
"44","15","           1","P_avg_consumption","TRAIN","18.1963512253","avg_consumption","1","18.3353171982","18.2095503712","18.4939030542","17.97230563","18.66489188","18.3392940123",
"44","20","           1","P_avg_consumption","TRAIN","17.9431261056","avg_consumption","1","18.0690707091","17.9431261056","18.1963512253","17.63383265","18.25126072","18.0442045418",
"44","25","           1","P_avg_consumption","TRAIN","17.5727253453","avg_consumption","1","17.7599929327","17.5727253453","17.9293674238","17.44139571","18.24015196","17.7443208502",
"44","30","           1","P_avg_consumption","TRAIN","17.1740609841","avg_consumption","1","17.3322991335","17.1740609841","17.5458351946","16.90299276","17.7076429","17.3035858034",
"44","35","           1","P_avg_consumption","TRAIN","16.2986353302","avg_consumption","1","16.7684505612","16.2986353302","17.1649438314","16.2146884","17.27316663","16.7544438627",
"43","40","           1","P_avg_consumption","TRAIN","15.0761407472","avg_consumption","1","15.6224065312","15.0761407472","16.2486914596","14.9197003","16.28169105","15.6471495112",
"44","45","           1","P_avg_consumption","TRAIN","14.7195283573","avg_consumption","1","14.9048951394","14.7195283573","15.0711480117","14.60250047","15.40026368","14.9366565818",
"44","50","           1","P_avg_consumption","TRAIN","14.2788086277","avg_consumption","1","14.5025067923","14.2788086277","14.7061846973","14.22021894","15.0639066","14.5041176127",
"44","55","           1","P_avg_consumption","TRAIN","13.9251044876","avg_consumption","1","14.0849593981","13.9251044876","14.2717975517","13.65481073","14.53871486","14.0969316314",
"43","60","           1","P_avg_consumption","TRAIN","13.5763755672","avg_consumption","1","13.7228811086","13.5763755672","13.9145375447","13.20932203","14.09204076","13.6826864833",
"44","65","           1","P_avg_consumption","TRAIN","13.2311406062","avg_consumption","1","13.4109190786","13.2311406062","13.553803042","12.9875159","13.80939548","13.376040838",
"44","70","           1","P_avg_consumption","TRAIN","12.8774690017","avg_consumption","1","13.0717072514","12.8774690017","13.223792073","12.55588974","13.54917671","13.0743195577",
